"time","Ca43","Li7_ppm","B11_ppm","Mg24_ppm","Si29_ppm","Mn55_ppm","Fe56_ppm","Co59_ppm","Ni60_ppm","Cu63_ppm","Cu65_ppm","Zn66_ppm","Rb85_ppm","Sr86_ppm","Sr87_ppm","Sr88_ppm","Cd111_ppm","Ba138_ppm","Ce140_ppm","Pb206_ppm","Pb207_ppm","Pb208_ppm","Th232_ppm","PbTotal_ppm","specimen","transect","grade"
6.87041997909546,1193260.15984175,4.33060702146306,5.96828117334209,393.668427456922,6006.68673877846,4.56158074333282,112.588294026107,0.214440207633221,1.43679414368038,2.04458260918464,3.42098553050578,3.69531069554292,0.00567884973548897,2045.66809331427,1128.51920722803,2573.33068025118,0.770860679506258,4.77476560604,0.0619839941184344,0.533828631557412,0.783348244265098,0.664684598227166,-0.00397112489756358,0.657766470591498,"oto01","1",1
7.13461995124817,1307814.05216103,2.64907903194762,8.75189836108406,358.884626577765,-16819.9144761334,-1.1973172346858,-125.553012062695,0.385202018461813,1.31057394598852,1.30957592188995,1.51236041952125,7.83248853918101,0.0971340328062426,1844.14599051251,715.257063318171,1908.81810585378,-0.115270321400264,4.13940951645552,-0.00521905653232461,0.827553119642605,0.334516452092158,0.0493089125605668,-0.0036222721882657,0.305033385533693,"oto01","1",1
7.39891004562378,1566842.25329697,1.58982427479223,5.72450786060404,309.704045612901,661.315559251014,-1.55324511308201,-29.0980342215201,0.440002774127893,1.09338178654352,1.02635814932193,1.11266711318864,3.87556294911173,0.0810367014508757,1214.27484256485,537.220193470131,1640.58018842728,-0.0961672548217323,2.80503336267588,-0.00435414212652516,0.548322881712058,0.279079699822577,0.37304908472539,-0.00302198247058362,0.395093110242783,"oto01","1",1
7.66308999061584,2150461.09631195,1.27049284454361,2.73288770070385,177.124678581965,-6615.10227320002,3.69256544532157,-34.4822096626927,0.176406358060769,1.29305738145925,0.313576180606077,0.484561371789875,2.24111573788752,0.0310755874499975,1110.35607405372,449.068938935417,1292.41917884431,-0.318592851836229,1.75393951349568,-0.00317035833785406,0.192336679937706,0.087784107983105,0.319962164178293,-0.00220038133045856,0.23648728489144,"oto01","1",1
7.92735004425049,1314570.69356788,3.74490851345654,12.4680325280881,343.873945685733,-3807.29353661932,3.90583286785714,50.5313218119778,0.241749104269621,1.9142043232811,0.829253625761698,0.971322242139624,3.03623906627822,0.142374112460544,1366.9417347876,658.114512273192,1889.92596118301,-0.521765948865724,5.96556683856412,-0.00519217046993317,0.484425248857411,0.332793564546969,0.0490549578008609,-0.0036036184479998,0.219625121473295,"oto01","1",1
8.19151997566223,1726994.76646054,3.27058594941727,4.4772787284081,236.288021554952,2683.95247581566,-0.255234435984651,-14.5630009043728,0.327367891919207,1.14652712941,0.69081673911868,0.468439605147028,1.82723133642856,0.108298275632105,1218.96634868614,552.880909785485,1322.09503679983,0.222430019046591,1.49899514819801,-0.00394947818781346,0.239603869709616,0.540717835035721,0.0373141766467264,-0.00274113129397768,0.19894590548279,"oto01","1",1
8.45573997497559,1225023.28782068,3.22562901425405,12.8776615139834,320.087136039849,-6671.50529484296,6.7416648155623,-46.5903363150428,0.461932217496174,1.39942694784658,0.466497074869981,0.47021539482612,5.30060301326969,0.054625116624653,1682.03266321683,778.822882181837,2435.12819005225,-0.123084468792035,3.86680214647643,0.0273995126586323,0.15623936394589,0.56008811207804,0.392505242712217,-0.00386787610694263,0.370707498681596,"oto01","1",1
8.71995997428894,1243633.29456274,1.80881168275537,7.21687636275174,372.823760932088,-3464.50134418345,-5.69753525865054,44.8718578860953,0.654422169238942,0.948223947606497,0.542934961706631,1.02689918941623,4.21547143390289,-0.0912648219118946,1543.0356704588,568.247498235732,1700.63157162787,-0.121236808172088,2.5828008129926,-0.00548926630200921,0.691271945788895,0.151992622857995,0.637685364850704,-0.00380982421087151,0.542415085123828,"oto01","1",1
8.98421001434326,1900854.02624621,3.6097238830099,1.14362671845636,281.987157282351,5399.75801006393,0.601358804523125,-110.372094363605,0.297365601861133,0.197987535222677,0.845648242900262,0.548320137866209,5.16476906148903,0.0983730762370495,1349.42462919527,531.482034451455,1354.64616957774,-0.360510963208831,1.50996955394537,-0.00358752738887491,0.217645579856725,0.0993352981806872,0.0885885131505434,-0.00248992417526106,0.122786754068489,"oto01","1",1
9.24842000007629,1310915.03047856,5.23893633058468,-1.16853320496544,356.433348710793,-5080.92552504054,0.872775382815909,-22.9415452324087,0.384289521003057,0.491368131813525,0.989871628807632,0.617556916185343,4.95225476322716,0.00516770297664742,1794.99161058021,665.926046583514,1739.62582207303,0.29323406222131,1.76087417172486,0.0255991142205789,0.315877778969198,0.144169308870622,0.446096600987539,-0.00361372776784699,0.346350050457199,"oto01","1",1
