"specimen","transect","start_time","end_time"
"oto01","1",6.80533534763811,98.8235399723053
"oto01","2",10.3061499595642,102.786489963531
"oto02","1",11.8893399238586,96.7064599990845
"oto02","2",11.098109960556,96.7094898223877
"oto03","1",10.3048100471497,84.2894899845123
"oto03","2",9.77567005157471,88.5157599449158
"oto04","1",10.041100025177,140.307280063629
"oto04","2",10.3049199581146,146.386039972305
"oto05","1",13.8545110812443,87.7225999832153
"oto05","2",10.6538178182836,87.7247700691223
"oto06","2",11.0086999271163,128.149239778519
"oto06","3",8.71953988075256,127.886379957199
"oto07","1",7.3985800743103,128.943910121918
"oto07","2",12.6841502189636,131.321290016174
"oto08","2",9.5123598575592,120.444934164444
"oto08","3",7.66275000572205,118.731484430572
"oto09","2",10.0407800674438,146.120559930801
"oto09","3",9.51180005073547,147.704470157623
"oto11","1",12.4188101291656,126.831459999084
"oto11","2",9.24635004997253,125.771530151367
"oto13","1",8.45510983467102,117.053179979324
"oto13","2",9.48921321363505,124.979120016098
"oto15","1",7.66326703282512,126.795044132007
"oto15","2",14.3992728231388,135.947543872489
"oto16","1",9.55821308978615,209.722994900315
"oto16","2",11.6572934136692,216.251098224111
"oto17","1",10.3444488618865,174.124040126801
"oto17","2",10.2498083955068,172.693515624487
"oto18","1",42.2770800590515,164.947704320374
"oto18","2",44.1281499862671,166.200839996338
"oto19","1",8.72678406930449,190.075424929258
"oto19","2",14.740566274337,204.352524483057
"oto20","3",22.5300738849064,213.757183542848
"oto20","4",21.0993252731214,214.40890804928
"oto21","2",7.66178011894226,80.3963957213915
"oto21","3",5.54901003837585,81.3977397675966
"oto22","2",11.8901798725128,108.597539901733
"oto22","3",10.8327400684357,109.656620025635
"oto23","2",13.1999747008238,120.705185314953
"oto23","3",13.4756999015808,124.994481122098
"oto24","1",13.2112600803375,108.071589946747
"oto24","2",9.51217007637024,108.595829963684
"oto25","2",7.71013655124073,99.085629940033
"oto25","3",6.8701000213623,98.2929999828339
"oto26","1",9.248379945755,98.8241000175476
"oto26","2",7.13444995880127,99.6162798404694
"oto27","2",10.3042101860046,105.428910017014
"oto27","3",10.5700399875641,105.693709850311
"oto28","2",13.6526717332081,111.773419857025
"oto28","3",16.7289634578306,111.769819736481
"oto29","3",5.63251991309689,82.797632829878
"oto29","4",6.59247932256623,77.6837899684906
"oto31","1",16.4693232738686,98.0289101600647
"oto31","2",9.6366849556029,110.714260101318
"oto32","2",12.5539954099092,89.8357701301575
"oto32","3",11.388033116613,89.8399701118469
"oto33","2",14.7961800098419,150.875910043716
"oto33","3",11.2187909299227,148.496850013733
"oto34","3",13.7402400970459,153.779789924622
"oto34","4",12.6826701164246,153.255239963531
"oto35","3",8.72029995918274,156.162669897079
"oto35","4",7.13401985168457,155.893159866333
"oto36","1",15.853600025177,137.928529977798
"oto36","2",14.2684299945831,135.843920965511
"oto39","2",12.7450872303375,154.441877610309
"oto39","3",12.4192099571228,152.72741985321
