"Variable","Fold","region","N_Calibration","N_Test","Mean_Calibration","Mean_Test","Median_Calibration","Median_Test","StdDev_Calibration","StdDev_Test","Min_Calibration","Min_Test","Max_Calibration","Max_Test","maxdiff","mindiff","meandiff"
"length",9,"E Shumagins",29,4,42.3793103448276,43.75,39,41.5,9.05701698409837,7.04154339142587,29,38,64,54,10,9,1.37068965517241
"length",9,"LPW",53,4,112.905660377358,119.75,107,106.5,20.796878603571,41.3067791046458,84,89,182,177,5,5,6.84433962264151
"length",9,"N Kodiak",28,3,53.1071428571429,55,51.5,54,13.6363872855334,16.5227116418583,30,39,77,72,5,9,1.89285714285715
"length",9,"S Kodiak",13,1,43.7692307692308,43,43,43,5.62959214262523,NA,37,43,54,43,11,6,0.769230769230766
"length",9,"W Shumagins",26,3,48.5,39.3333333333333,49,39,8.80113629027525,1.52752523165195,30,38,64,41,23,8,9.16666666666666
"length",10,"E Shumagins",29,4,42.551724137931,42.5,41,43,9.10488960824485,6.60807586719967,29,35,64,49,15,6,0.051724137931032
"length",10,"LPW",51,6,114.254901960784,106,108,102,22.6007461268471,19.380402472601,84,88,182,143,39,4,8.25490196078431
"length",10,"N Kodiak",28,3,52.5357142857143,60.3333333333333,51.5,68,12.8854846352675,21.548395145192,30,36,74,77,3,6,7.79761904761905
"length",10,"S Kodiak",12,2,43.5833333333333,44.5,42.5,44.5,5.86915408700178,0.707106781186548,37,44,54,45,9,7,0.916666666666664
"length",10,"W Shumagins",26,3,46.9230769230769,53,47,57,8.26037808782662,13.4536240470737,30,38,63,64,1,8,6.07692307692308
"read_age",1,"E Shumagins",30,3,78.5333333333333,76.3333333333333,76.5,75,9.48586365047497,14.047538337137,64,63,97,91,6,1,2.2
"read_age",1,"LPW",52,5,140.711538461538,145.2,134.5,139,24.4551101668547,25.4106276978748,109,116,205,178,27,7,4.48846153846154
"read_age",1,"N Kodiak",27,4,91.2222222222222,85,87,84.5,16.9599830672388,18.4571575998762,69,65,127,106,21,4,6.22222222222223
"read_age",1,"S Kodiak",12,2,79.5833333333333,78,78,78,11.2771557772447,7.07106781186548,64,73,104,83,21,9,1.58333333333333
"read_age",1,"W Shumagins",26,3,82.1923076923077,90,81,87,10.8628513044016,6.08276253029822,56,86,102,97,5,30,7.80769230769231
"read_age",2,"E Shumagins",29,4,78.3793103448276,78,75,76.5,10.1115697280161,7.16472842006823,63,71,97,88,9,8,0.379310344827587
"read_age",2,"LPW",53,4,141.22641509434,139.5,135,139.5,24.7492358152685,20.9204843793509,109,115,205,164,41,6,1.72641509433961
"read_age",2,"N Kodiak",27,4,88.9259259259259,100.5,86,102,15.3696151944371,25.9935889531759,65,71,116,127,11,6,11.5740740740741
"read_age",2,"S Kodiak",13,1,79.6923076923077,75,78,75,10.9269133746651,NA,64,75,104,75,29,11,4.69230769230769
"read_age",2,"W Shumagins",26,3,83.1153846153846,82,82,88,10.1047589702157,17.7763888346312,56,62,102,96,6,6,1.11538461538461
"read_age",3,"E Shumagins",30,3,78.2,79.6666666666667,76.5,74,9.64686835017029,12.5033328890074,63,71,97,94,3,8,1.46666666666667
"read_age",3,"LPW",50,7,141.36,139.285714285714,136,131,24.5271694415872,24.7367087929005,109,116,205,188,17,7,2.07428571428574
"read_age",3,"N Kodiak",28,3,90.5,89.6666666666667,88,85,16.9978212111413,20.4042479237372,65,72,127,112,15,7,0.833333333333329
"read_age",3,"S Kodiak",12,2,80.3333333333333,73.5,79,73.5,11.0068848977136,6.36396103067893,64,69,104,78,26,5,6.83333333333333
"read_age",3,"W Shumagins",26,3,83.3846153846154,79.6666666666667,85.5,81,11.2074151277694,2.3094010767585,56,77,102,81,21,21,3.71794871794872
"read_age",4,"E Shumagins",30,3,78.6333333333333,75.3333333333333,76.5,75,9.76793958202859,10.5039675043925,63,65,97,86,11,2,3.30000000000001
"read_age",4,"LPW",52,5,141.961538461538,132.2,136,129,24.8816504862531,17.079227148791,109,113,205,156,49,4,9.76153846153846
"read_age",4,"N Kodiak",28,3,91.2857142857143,82.3333333333333,88,77,17.3565168524297,11.9303534454489,65,74,127,96,31,9,8.95238095238096
"read_age",4,"S Kodiak",13,1,80.3076923076923,67,78,67,10.3632734161285,NA,64,67,104,67,37,3,13.3076923076923
"read_age",4,"W Shumagins",26,3,82.9615384615385,83.3333333333333,82,85,11.0832513974222,7.63762615825973,56,75,102,90,12,19,0.371794871794862
"read_age",5,"E Shumagins",29,4,78.2758620689655,78.75,76,76.5,9.66915771085768,11.5289490703475,63,68,97,94,3,5,0.474137931034477
"read_age",5,"LPW",51,6,140.509803921569,146.166666666667,133,138,24.3395748105998,26.0108951531213,109,113,205,184,21,4,5.65686274509804
"read_age",5,"N Kodiak",27,4,90.962962962963,86.75,87,85,17.6602149161099,12.4465524008324,65,74,127,103,24,9,4.21296296296296
"read_age",5,"S Kodiak",12,2,76.8333333333333,94.5,77,94.5,8.18905403942397,13.4350288425444,64,85,93,104,11,21,17.6666666666667
"read_age",5,"W Shumagins",26,3,84.1923076923077,72.6666666666667,84,74,9.62504745243048,16.0416125540213,62,56,102,88,14,6,11.525641025641
"read_age",6,"E Shumagins",31,2,78.3548387096774,78,76,78,9.35431589195338,19.7989898732233,63,64,97,92,5,1,0.354838709677423
"read_age",6,"LPW",51,6,141.450980392157,138.166666666667,137,129,24.4788183746603,25.1270106989802,109,119,205,185,20,10,3.28431372549019
"read_age",6,"N Kodiak",29,2,90.4827586206897,89.5,87,89.5,17.3341543319523,14.8492424049175,65,79,127,100,27,14,0.982758620689651
