"ModelType","Avg_R2","SD_R2","Avg_RMSE","SD_RMSE","Avg_RPD","SD_RPD"
"Simple-GAM",0.920063874993943,0.0387661301998269,9.74217764635332,1.69638503202665,3.55185783118471,0.783535676605077
"PCA-GAM",0.905641032682948,0.0430968837712029,10.1004659968784,2.00725006520005,3.42454935886484,0.694653251460108
"Simple-LM",0.895277228078054,0.0554030652344098,11.4815274820605,2.34349312305995,3.03824710893295,0.690155993754341
"PCA-LM",0.881090894699927,0.062230907804327,11.7858707258511,2.58228443463599,2.96457808641294,0.689072251167642
"Filtered SG",0.85728466615002,0.0852562766805964,11.6682614973264,3.44474389303497,3.17249329062082,1.01128342530432
"SG Only",0.854641823707701,0.0520395378093054,12.1486242989084,2.43349878328109,2.94405438551212,0.714255025046823
"VIP > 0.5",0.837645334539103,0.0882272890769004,12.5641121744169,3.16303891436612,2.87475209577737,0.75426355772276
"VIP > 1.0",0.830155912638664,0.107966912432458,12.6934352833411,3.54276847735664,2.874421469101,0.788001144492676
"SNV+SG",0.817584055970125,0.0820935196564947,13.2976716648665,2.94589288932351,2.61630513298887,0.451514235453033
