"ModelType","nComp","R2","RMSE","Bias","RPD","Cal_Region","Val_Region"
"Simple-GAM",NA,0.420805641512221,7.76083114644291,-0.177122058409157,1.36233815028748,"E Shumagins","S Kodiak"
"Simple-LM",NA,0.413788858443492,8.00993077126375,0.0255422913757225,1.31997100232995,"E Shumagins","S Kodiak"
"PCA-LM",NA,0.39280669957688,8.27411566765454,-1.18114562181217,1.27782554334723,"E Shumagins","S Kodiak"
"SNV+SG",1,0.364704221246928,8.12061266750037,1.33123098969637,1.319835411485,"E Shumagins","S Kodiak"
"SG Only",1,0.360874812411132,8.14505043816693,1.26468903921926,1.31401017450988,"E Shumagins","S Kodiak"
"Simple-LM",NA,0.679599696469919,5.99131976153006,-0.119927789519587,1.78097425624718,"E Shumagins","W Shumagins"
"PCA-LM",NA,0.639731288846452,6.98179287963396,-2.29411093547867,1.52831607012517,"E Shumagins","W Shumagins"
"VIP > 1.0",1,0.633516556022039,6.34727533019494,2.04858870530881,1.77614962787112,"E Shumagins","W Shumagins"
"VIP > 0.5",1,0.632366213244347,6.35722915182887,2.04853772591719,1.77304098128917,"E Shumagins","W Shumagins"
"Filtered SG",1,0.629616918325218,6.38095567477325,2.06555271000303,1.76738373585466,"E Shumagins","W Shumagins"
"PCA-GAM",NA,0.61893953938617,6.58580624591308,-0.464398161995341,1.6202095624741,"E Shumagins","W Shumagins"
"SG Only",1,0.598061376514245,6.64721962013932,1.39479365294431,1.64179065002802,"E Shumagins","W Shumagins"
"Simple-GAM",NA,0.595274549098707,6.67532807627083,0.0352330038976707,1.59848117340639,"E Shumagins","W Shumagins"
"SNV+SG",1,0.583257073736042,6.76852871734832,1.56747657247005,1.62052429332138,"E Shumagins","W Shumagins"
"Simple-LM",NA,0.64380705591327,48.2269836192782,46.5940872405643,0.201347645988425,"LPW","E Shumagins"
"Simple-GAM",NA,0.534030534862137,34.1935685547102,32.4890592120778,0.283982925307349,"LPW","E Shumagins"
"PCA-LM",NA,0.0578941498649042,16.7925243042249,12.6627305983061,0.578256696190755,"LPW","E Shumagins"
"PCA-GAM",NA,0.0126646887740024,25.2652221998053,22.4052147805319,0.384338184246757,"LPW","E Shumagins"
"SNV+SG",3,-20.8138938080107,44.6602626288958,-43.255749201087,0.873855690980613,"LPW","E Shumagins"
"SG Only",2,-34.8644890545701,57.2647012505331,-55.2854756558692,0.650602781848477,"LPW","E Shumagins"
"Filtered SG",3,-66.0215746256849,78.2820137185762,-77.4741268044885,0.865642918695287,"LPW","E Shumagins"
"VIP > 1.0",3,-95.0728014930649,93.7248821093758,-92.8077516267687,0.742409773997766,"LPW","E Shumagins"
"VIP > 0.5",3,-104.715125706685,98.3157826092528,-97.5293860617402,0.782455100472892,"LPW","E Shumagins"
"SG Only",2,0.868122573540941,8.76104036239824,-1.04711561059383e-14,2.77816593998885,"LPW","LPW"
"SNV+SG",3,0.850231115949129,9.33643861850707,-2.24381916555821e-15,2.6069494941503,"LPW","LPW"
"Filtered SG",3,0.788345929788033,11.0989977081048,-1.32136017527317e-14,2.19295692942697,"LPW","LPW"
"VIP > 0.5",3,0.773954513259375,11.4701307771314,-8.72596342161527e-15,2.12200056011649,"LPW","LPW"
"VIP > 1.0",3,0.773829287197676,11.4733074838408,-1.99450592494063e-15,2.12141302479365,"LPW","LPW"
"Simple-GAM",NA,0.741470636161204,12.409405786262,9.00284083072576e-13,1.98503925278934,"LPW","LPW"
"PCA-GAM",NA,0.728101276462819,12.5851258912966,9.64835393597362e-14,1.93399924195551,"LPW","LPW"
"Simple-LM",NA,0.711701720932303,13.1033446782061,1.57898385724467e-14,1.87991373152931,"LPW","LPW"
"PCA-LM",NA,0.664155027704143,13.9810527728198,2.89196359354997e-14,1.74090065527829,"LPW","LPW"
"Simple-LM",NA,0.644416284098966,37.6165911252694,32.0753012105904,0.45102944687173,"LPW","N Kodiak"
"PCA-LM",NA,0.0313059020634682,18.9975322060457,7.72501059066209,0.893073379448253,"LPW","N Kodiak"
"Simple-GAM",NA,0.0258574527428019,26.5683059351347,20.5321883526886,0.6385875836364,"LPW","N Kodiak"
"PCA-GAM",NA,0.00374595343634913,23.0637576953496,12.6481746684599,0.735621250992037,"LPW","N Kodiak"
"SNV+SG",3,-3.98706890364412,37.2723519546648,-32.9483703343895,0.973665468568333,"LPW","N Kodiak"
"SG Only",2,-7.26640753955278,47.9868806988144,-43.2992580685244,0.820173236902008,"LPW","N Kodiak"
