"specimen","region","Ca43","Li7_ppm","B11_ppm","Mg24_ppm","Si29_ppm","Mn55_ppm","Fe56_ppm","Co59_ppm","Ni60_ppm","Cu63_ppm","Cu65_ppm","Zn66_ppm","Rb85_ppm","Sr86_ppm","Sr87_ppm","Sr88_ppm","Cd111_ppm","Ba138_ppm","Ce140_ppm","Pb206_ppm","Pb207_ppm","Pb208_ppm","Th232_ppm","PbTotal_ppm","Sr87_86"
"oto01","core",1375302.4978537,0.923352384837528,3.95640859667522,508.686730045333,-2078.31267825217,1.19450565331454,-75.9520591176272,0.296078787499471,1.4728069512591,0.454326506802965,0.71859066201944,6.73875289611854,0.116254882642284,1790.54905168841,698.793270564854,2038.32725371949,0.168696808032959,10.2851826003897,0.0163056527858512,0.469428700867029,0.342112709218696,0.386820058571632,-0.00193817785853277,0.396844110848711,0.396084619693351
"oto01","middle",1312265.56880273,1.99286749245117,4.18406292380411,295.17706505571,-5752.15700704433,2.21881778147486,-93.9605869154133,0.304191983336641,1.50060911795733,0.466717668470432,0.674773458998164,8.08412690952862,0.111746510329202,1560.87591111695,625.464417490324,1830.59175887422,0.107081422976597,6.3743414294591,0.00138457802680442,0.49294282723258,0.446759298390047,0.452717147041166,-0.00170951905431623,0.460762724792689,0.402980423163022
"oto01","edge",1252034.08433323,2.15388950687318,4.99215769452625,368.613531807181,-19552.9481907284,3.37905025847256,-3.7198512886273,0.620493535926506,7.49649125997552,3.13056915450107,3.17592385632129,47.6850383054915,0.128409535991414,1635.56873586588,637.085790508278,1866.88903211217,0.349337523133952,11.0063120791293,0.17333818877069,0.725637587295074,0.785903589741607,0.730506477506746,-0.000843499461348192,0.74064210678311,0.395677324236517
"oto02","core",1498848.29016985,0.399328802673249,3.15602701270117,205.456194161962,-865.897681800636,1.3931713023589,0.601560857129742,0.312701641129507,1.70293231668191,0.625512149764671,0.836491860724853,11.1362015475945,0.0355460090819261,1664.5912932629,640.854404614506,1861.95369567053,0.0956572700664716,5.6344619772163,0.0049936047675639,0.471851683603509,0.449970079802203,0.448612863385683,0.000352228423862245,0.454079568611296,0.395922684349423
"oto02","middle",1341008.94844284,0.445338024892028,2.69099113290466,152.690435085739,-1670.68990381119,2.21225868794373,-27.2835740067248,0.294962119433976,1.5614584202328,0.512343957681304,0.682699503861131,10.4038560711593,0.0728645657645751,1552.8072480269,616.931301450594,1789.77751770122,0.0720899842871403,4.79875716358395,0.00538601835321664,0.529487427240413,0.468435616517765,0.47886735554909,0.000408789534309859,0.488454204625898,0.4002709615273
"oto02","edge",1274093.10959714,0.557206636867525,4.10177763963574,178.664894486151,-6606.59898919526,7.61782087704311,-5.97307631310557,0.423795202872488,75.4303825189447,4.19107055693807,5.90246766459916,22.1343566184014,0.059094523089779,1214.56345294548,480.352573718448,1426.71448208843,0.138211825074545,5.0616317305802,0.0186324257041736,0.684676323207447,0.67534162739982,0.768211967914344,0.00446669633513837,0.72594909893704,0.395495185743139
"oto03","core",1412853.74716973,1.06693144742887,3.65693121623088,730.682486113536,1506.03121727385,1.2075715006969,20.6425873340855,0.276816663955447,1.8102159056289,1.01032424938604,1.14330573815799,21.7302515046707,0.048847096844648,1532.9371741024,600.485518634905,1788.28000125448,0.175264986698326,3.36890292682814,0.00380592611216742,0.576001621737856,0.51843194935086,0.50515855074164,0.000253597703364662,0.524967733688181,0.393336696721229
"oto03","middle",1336118.75977407,1.73717584666982,2.82443039397667,531.214438395163,219.427345384478,2.66391833427656,4.55889553676931,0.295116236426698,1.48945862033005,0.683561675894753,0.895549083525442,9.85387512326344,0.0401808192003698,1470.67882952264,591.946390880601,1698.05820348079,0.0184451318517376,2.92175020108736,0.00306760044814178,0.44077242525005,0.378810684190843,0.426989566989444,0,0.41915528297335,0.404111767448354
"oto03","edge",1295930.73748242,3.3721125833746,3.29411768017296,407.447095039061,-672.172313569036,12.6907484096379,19.4142676742221,0.286089394498376,3.76356160532887,3.32408188913787,3.70164278619196,41.0150344993569,0.0829794191339939,1566.45257258264,617.344214683479,1795.78304603481,0.23085536624641,3.44673893731617,0.0104504578213744,0.741345084513804,0.751807533993629,0.76544943027867,0,0.755456670716736,0.396260408852132
"oto04","core",1876346.57715829,0.470105167528324,2.08024960979303,148.583820878099,1406.42883214736,1.59401921730827,10.2087796286253,0.171756355035646,1.33751375636898,0.179517574706103,0.267331892416694,10.1520811539228,0.0485476447208614,1349.33048695889,533.16338403868,1565.51214216294,0.171982431576958,17.1770174400748,0.00187377947736383,0.549888268668787,0.561582036219489,0.552051476400574,0.00106473482813487,0.552538060154449,0.39860431722324
"oto04","middle",1849779.65328348,0.515915751800654,1.44945320160665,124.085882547832,1683.52900415807,5.5068071497979,9.52278190332947,0.206522022184234,1.27959319100338,0.215264862757236,0.285625683522955,12.5689123247135,0.0390113463394378,1263.20097146821,514.131583235484,1478.13254237357,0.0214579903012357,9.24905419256688,0.00190332166556052,0.547175035333289,0.512831609995376,0.525798280380014,0,0.527156811908719,0.412051401888878
"oto04","edge",1688076.09594356,0.414755317085313,1.53944703922942,181.162932483957,1004.49903987437,12.024736674889,10.0244743575448,0.183785999815025,1.25680885684515,1.40126197485551,1.6477021067129,23.4476035589343,0.0537228708265269,1604.49930095835,615.401625229364,1766.76753959763,0.271411183930927,2.15966027547326,0.0248628097201149,0.756308566826666,0.706846828208707,0.638451424781165,0,0.681557603356744,0.39080384561737
"oto06","core",1636484.26045366,0.409732050422726,1.9822017610603,233.206309911557,1360.39173921016,2.06569470569037,13.4132833459652,0.239008333696365,17.9025689631378,0.701456736754725,0.840191882819105,24.7460691351177,0.0213214712176238,1751.81428806499,701.638858116124,1977.12814272187,0.248156439965,11.5580129742856,0.00474075346837007,1.35611172248153,1.23793624124146,1.27794594584986,0.000367143073945678,1.2866393710536,0.401590852353578
"oto06","middle",1441221.65223844,0.446257057105683,1.47319198055168,123.570514536411,1404.97886240669,6.26876855253427,14.8314125678041,0.241633537304451,1.83919728917077,0.522774663273683,0.664452662120483,22.1241916431039,0.0343758486080795,1280.38581143411,508.962578204136,1441.91785304534,0.208316073359934,9.61520450678732,0.0055592011526994,1.23255090726251,1.16773436226074,1.20317336011693,0,1.20091237910759,0.399244338270672
"oto06","edge",1389647.77401219,0.727687102579433,1.52733792173119,90.2677615308366,1740.4500289154,17.0067474012718,44.8060930104129,0.222460704760096,1.96292129081551,1.13067552130645,1.24670939290923,22.4408842073371,0.0498784197664509,1200.51694751547,479.361621068723,1358.02825836025,0.166635166680459,9.52209926299941,0.00300152797170843,0.814616819945468,0.764003154379866,0.775687163925338,0,0.781651156765557,0.401507595814293
"oto07","core",1452450.90763325,1.42506608934245,2.02700823476325,168.458437694515,1530.3754532777,1.24267958995898,16.8770595720124,0.235081130713654,2.12872449743078,1.13811127267804,1.22869531680688,31.9207351802562,0.176577777174817,1368.43927540729,543.106575187923,1607.72029740921,0.411398347633419,2.91786220480998,0.0225876716372049,1.76884567108227,1.67916294801983,1.66221745188908,0,1.69004295069349,0.405736991517251
"oto07","middle",1412199.0011103,1.0581956175932,1.85679229958254,96.8349445287971,1034.54061606057,3.49857969077402,9.55341052624644,0.229752016500375,1.60703604308958,0.499491676253825,0.621011879605823,22.6510548139287,0.0460868479662718,1392.36706624947,556.196040139254,1601.65902276778,0.34551991676661,3.93646682958433,0.00628648632756273,1.5730754704378,1.44158379012791,1.47625789398399,0.000225423855992713,1.49046163549503,0.405027397744678
"oto07","edge",1274737.98589025,0.491230445221246,1.7603396347567,104.401458393011,386.835534458755,10.4034171516796,34.4108733305855,0.286083171968248,3.45773126131871,3.07666406926303,3.21886455104116,50.4814613041193,0.134179856701974,1353.31739928103,528.608291873103,1519.07284876489,0.545375123289125,10.5812095648615,0.00897032435463821,1.54418238207562,1.53071993872372,1.43817875553759,0,1.48293101220855,0.395818144179532
"oto08","core",1376596.5826051,0.603559083604695,2.22411072684404,226.805374860703,815.497729742662,4.11184044148908,9.24539284250134,0.215883378075724,1.55530374331229,0.506712134570577,0.685733158753497,18.2871295664249,0.0596595312604419,1434.35194732468,568.380619805362,1628.37454477147,0.120890081548865,40.9514245294841,0.00133293485103427,1.03962813444949,0.953900496337714,1.00402972312973,0,1.00030274607984,0.39846337629533
"oto08","middle",1441999.00810068,0.370187376011532,2.35671109131979,215.394370983499,749.322314387157,1.49389467119468,22.9736469029942,0.246305708377185,3.7464453691793,0.954964137728817,1.11547236216858,21.8316429300822,0.045249134566391,1490.26442449166,591.409000650883,1672.65184524287,0.141228105874254,22.155908239054,0.00611851352271733,1.07893902115179,0.899490600900397,0.936676284743206,8.54187578622831e-05,0.962305365289453,0.400415367976535
"oto08","edge",1338363.22443511,0.732621225672982,2.68021514149731,169.421530395619,732.50046097252,2.63780958670266,55.7762324475294,0.310020093444851,6.61879410040328,5.32470156546386,5.8440127808369,74.3373762575754,0.0700727922419724,1388.17867739597,520.97900622945,1492.85849999216,0.294605536178429,20.2711774016565,0.0132592227354582,1.56715229528098,1.28886158329321,1.4011001936242,0,1.41530873670459,0.386642658660366
"oto09","core",1572011.68445806,0.468941441731744,2.17317050959667,89.9247000556569,2015.55715727104,1.34447261315243,13.6508759917338,0.232021049815326,1.54507725939783,0.638857992516128,0.848393798080032,9.63796688003406,0.0314410272027,1473.53729687102,590.036077144809,1656.37925815052,0.188983060796147,8.67124448168876,0.00432858485745968,0.394046622532768,0.299914915754499,0.383400511644655,0,0.366965949116589,0.405444089241226
"oto09","middle",1601894.91274403,0.470737207319899,1.36217885696536,106.945036608238,1871.95049832523,6.23397124507742,14.4722181195625,0.217461635223992,1.48702156188273,0.542153366177241,0.665851526989204,12.2287772343173,0.0439821352859777,1406.37506260903,560.985489933966,1568.44167224292,0.214693181471992,8.97009113324324,0.00678061585014436,0.481906267927491,0.430007092749701,0.45779980357845,0,0.456946631589074,0.401254116532993
"oto09","edge",1383628.73476791,0.39167106264062,1.19154223335907,119.648294865844,2015.66569670637,19.0427951717341,10.1958467862316,0.195005612846857,1.35227339255707,1.62984882109153,1.91415147305677,26.5531163284406,0.0328658336866565,1188.85074880623,479.038789675001,1348.13723888424,0.499922889079829,6.29295713171394,0.00180849383105639,0.666692712707582,0.620294448139449,0.579363059592678,0,0.609227783277464,0.404801779221834
"oto11","core",1613454.62670699,0.840181586978012,1.85387065690463,159.561695227617,1706.34857347952,0.86507966119576,16.3349567932832,0.234643622787178,1.30409630330144,0.374753866753407,0.591465826450065,12.3977819877929,0.0357236784260377,1474.79633116892,566.889753366861,1605.93241226788,0.00555060606262364,14.6473483091737,0.0109517998151968,0.398159673881513,0.381349627164054,0.384371876111007,0,0.38655825683207,0.393260567655437
"oto11","middle",1522852.42729521,0.717228529688742,1.62511493014399,160.74428579598,2368.66668944612,2.664090341243,16.733070075438,0.231029186995048,1.48903921713623,0.568504919211963,0.696114609250179,13.4358560986556,0.0485067304698994,1487.07095324278,592.004085314711,1667.58364438481,0.0694429496011166,17.34277200132,0.00959174805323987,0.461697679141319,0.430477061598255,0.448408485986893,6.61800567520022e-05,0.447070278633132,0.399668820517291
"oto11","edge",1406744.16522107,1.74781986075137,1.89076336520347,128.853877368627,2866.29049243088,5.85449311454952,26.7706131065845,0.253710165908017,1.63924290037817,7.06116694966104,7.39590968014237,34.9822126312262,0.0901912906079284,1519.00176042731,596.717877403408,1645.49803863403,0.299632891309054,48.6541266792541,0.00997611419805079,0.627276144593414,0.554402657088853,0.560312980184497,0,0.574760056672723,0.393931774048835
"oto13","core",1510996.27630873,0.475261468377778,1.72033953078852,242.404880706361,2485.14013420484,0.767815330688464,13.9036943258124,0.203911466558893,2.47063793369031,0.58403606517665,0.823130760960115,19.244650504538,0.0274411609244845,1559.23944485685,610.765744734758,1734.6863330114,0.128538714030778,14.284689063134,0.00437668099089709,1.34925427164991,1.29084299650997,1.32880756928598,0,1.3234479333392,0.400046781415729
"oto13","middle",1424056.33663544,0.964603870564921,1.3893948377753,174.851958074733,2877.09873176479,3.41326946967933,13.2921750119122,0.224830077688438,1.37542164508541,0.606499583254533,0.732622559555728,20.2271722195954,0.0240146657861225,1438.20427434134,563.860941271449,1589.16012110693,0.254904631850489,9.53601580166002,0.0057202341347279,1.33221093882664,1.20968849461657,1.25161973862971,0,1.26037550033593,0.40376608991177
"oto13","edge",1314575.98092913,0.522885451421363,1.70830416052867,165.339626142262,2521.19115197175,5.1904332347532,28.6462297444626,0.274702660553635,1.52376376587599,2.70799260052492,2.67358670333028,38.8017797239079,0.00126144327076891,1371.10994131975,559.687863725428,1525.46520491045,0.824848781999857,2.70041736560091,0.00628335119782401,1.35098312251462,1.06939688878807,1.07957566845871,0,1.1428478768105,0.410903084339891
