"specimen","region","Ca43","Li7_ppm","B11_ppm","Mg24_ppm","Si29_ppm","Mn55_ppm","Fe56_ppm","Co59_ppm","Ni60_ppm","Cu63_ppm","Cu65_ppm","Zn66_ppm","Rb85_ppm","Sr86_ppm","Sr87_ppm","Sr88_ppm","Cd111_ppm","Ba138_ppm","Ce140_ppm","Pb206_ppm","Pb207_ppm","Pb208_ppm","Th232_ppm","PbTotal_ppm","Sr87_86"
"oto01","core",1377412.7055381,0.94668571835703,3.9412301850692,506.526484005097,-1993.99884701064,1.06698333887506,-79.8332062831458,0.290152614831743,1.45577764707408,0.448858527225272,0.708844613712351,6.73503510374666,0.112259623168766,1789.22846705834,694.958785013748,2031.08275004671,0.169392734768285,10.171894602213,0.016109593404079,0.467221125748798,0.346439124788432,0.390837541171958,-0.0019482477432234,0.399384813756149,0.390425705380134
"oto01","middle",1311866.83241304,1.98957750264909,4.18636529765726,295.391829674926,-5733.9949582471,2.2242674086889,-94.1266358372445,0.304487166513817,1.50594890095553,0.466852735948239,0.674830023367497,8.1013063785466,0.112320565335201,1561.05893225672,625.77052606829,1831.67758272117,0.105681704399642,6.37687935770407,0.00145741154229769,0.492534735476093,0.447448121859661,0.45241951784669,-0.00170922417514088,0.460656901540231,0.401363339897676
"oto01","edge",1274724.3221744,2.1071717166759,4.67654089957716,358.755025920283,-20167.495107854,2.61447457205724,1.17281604272624,0.611409430810009,7.70453877188967,2.74016825031055,2.80534083222967,49.8521039944863,0.13049890339667,1618.24357068417,632.724186363912,1860.62534985624,0.339921343693456,10.6278153159507,0.186123537632369,0.702464686710089,0.745279502252239,0.687880777591997,-0.000642634047909017,0.703328111465841,0.391973462214563
"oto02","core",1507096.66870643,0.38741963304467,3.09966497618212,203.047457194706,-1022.63636218651,1.35052796145957,-1.45391144687396,0.309423695740627,1.70310423290086,0.606859513471671,0.832980292957232,10.9534984672559,0.0367163460744838,1662.93378973432,640.785282753786,1862.99729399968,0.0983509384865588,5.59088223800039,0.00490639835744913,0.462504974016507,0.450871024841047,0.449469373203046,0.000362742705171565,0.452420477278346,0.388537857898622
"oto02","middle",1340751.48701241,0.446480453675434,2.68921899320684,152.729850047676,-1643.31125227723,2.21443856077014,-27.0258279221432,0.295415071817277,1.56011083295556,0.512163067581729,0.683458240142493,10.4034286912365,0.0729493363827644,1554.3995263863,617.109461229289,1791.454726051,0.0728294314322752,4.80546918769301,0.00542241105614637,0.528490926778819,0.469219394721236,0.478228528646184,0.000408789534309859,0.488043206476542,0.397677292594359
"oto02","edge",1296535.98568015,0.538524389323493,3.92668378350288,176.856854271834,-4929.6726286228,8.00392564227566,1.08259690002075,0.42001271219858,84.1244097066712,3.80718797411703,5.30646497576411,22.2193815347978,0.0600290411047933,1210.81195010241,476.787378537176,1412.43417297179,0.194727445293285,5.05910284737008,0.0199690335634928,0.658314274092148,0.670511216399513,0.790946986934671,0.00422116384423878,0.730394491640221,0.393580618820564
"oto03","core",1419641.65703995,1.06109353270281,3.62504070236813,723.676623258746,1429.05633040534,1.21688317583453,20.8297593507067,0.277230614301522,1.78332738792489,1.00699426086787,1.1505358557909,21.3559029936084,0.0486810481130007,1529.38877410632,598.051030940301,1782.90874948823,0.150806002802457,3.37012830569367,0.00386790649019383,0.561892781133457,0.510477602904396,0.498864077858423,0.000260498321143292,0.516380061582464,0.39152087956357
"oto03","middle",1335793.08800734,1.73967179860463,2.81735331075037,531.87828862666,244.169733738103,2.66137245164595,4.56602959880384,0.295438650756345,1.49523049276301,0.687766951891333,0.89785273592684,10.0662716603856,0.0407231037168187,1470.74545989908,591.683590149879,1698.42094923404,0.0179722770043404,2.92551034898957,0.00309777095890417,0.442896051302352,0.384249791678626,0.427103381439813,0,0.420947198019009,0.402593573129134
"oto03","edge",1335871.46933764,3.25289946108387,3.0907873965009,388.795285523499,-982.918852096055,13.0142122447906,18.5173276940175,0.287510955423965,3.17909334859055,3.13804635306603,3.53654199357492,42.1966222314591,0.0781709511807546,1544.80211133006,609.195319947692,1778.32613197675,0.296894165003994,3.31923485954124,0.0112454683948941,0.772876693244875,0.720769402608783,0.794549645382688,0,0.771783149517097,0.394212615785911
"oto04","core",1870532.3634671,0.506405254245148,2.14725779539268,149.377341139775,1321.64191445262,1.63827288175949,10.2148266671073,0.176160450953295,1.34822838756753,0.181422450480579,0.265289039240723,10.3719211515206,0.0517757586449864,1358.17471344673,534.615756213243,1572.28600838212,0.185361091106283,16.9482672602931,0.00151567644360399,0.545330182620335,0.566966741649494,0.553847327966828,0.00112388676303125,0.55355637834286,0.394976918802243
