Cal_Region,Val_Region,ModelType,nComp,R2,RMSE,Bias,RPD
E Shumagins,N Kodiak,Filtered SG,2,0.590266672,10.40252305,-0.541064896,1.575994371
E Shumagins,N Kodiak,VIP > 0.5,2,0.599123862,10.2894733,-0.66276067,1.594464066
E Shumagins,N Kodiak,VIP > 1.0,2,0.600471272,10.27216643,-0.643502567,1.596970539
E Shumagins,S Kodiak,SNV+SG,1,0.364704221,8.120612668,1.33123099,1.319835411
E Shumagins,S Kodiak,SG Only,1,0.248682696,8.414309662,3.320696656,1.274484761
E Shumagins,S Kodiak,Filtered SG,2,0.339998068,7.886410853,2.289876955,1.305674805
E Shumagins,S Kodiak,VIP > 0.5,2,0.352191629,7.813220357,1.996262265,1.304422451
E Shumagins,S Kodiak,VIP > 1.0,2,0.356739094,7.78574856,1.921317689,1.305967446
E Shumagins,W Shumagins,SNV+SG,1,0.583257074,6.768528717,1.567476572,1.620524293
E Shumagins,W Shumagins,SG Only,1,0.453759512,7.873285569,0.929622299,1.373004452
E Shumagins,W Shumagins,Filtered SG,2,0.590922241,6.813448762,0.779892367,1.585901486
E Shumagins,W Shumagins,VIP > 0.5,2,0.592943691,6.796593654,0.792311017,1.590227419
E Shumagins,W Shumagins,VIP > 1.0,2,0.592320009,6.801798444,0.766432115,1.588292024
W Shumagins,LPW,SNV+SG,1,-86.17800494,225.2547265,-201.1278212,0.239973532
W Shumagins,LPW,SG Only,2,-19.80868098,110.0506788,-97.19393818,0.471527248
W Shumagins,LPW,Filtered SG,2,-30.19479133,134.744638,-118.8564135,0.38344286
W Shumagins,LPW,VIP > 0.5,2,-29.10435048,132.3686319,-116.790894,0.390681567
W Shumagins,LPW,VIP > 1.0,2,-26.20292722,125.8282826,-110.8038403,0.408204542
W Shumagins,N Kodiak,SNV+SG,1,0.619228964,10.29902392,-4.379574774,1.820125726
W Shumagins,N Kodiak,SG Only,2,0.495852222,11.53896802,-0.699964928,1.421473109
W Shumagins,N Kodiak,Filtered SG,2,0.358560509,13.01565081,-4.780586717,1.352407305
W Shumagins,N Kodiak,VIP > 0.5,2,0.359582711,13.00527576,-5.219131321,1.374412716
W Shumagins,N Kodiak,VIP > 1.0,2,0.38790571,12.71443909,-5.22819013,1.41263487
W Shumagins,S Kodiak,SNV+SG,1,0.473022714,7.39599757,0.006553818,1.429540829
W Shumagins,S Kodiak,SG Only,2,0.001452187,9.700435394,5.692796403,1.254527202
W Shumagins,S Kodiak,Filtered SG,2,0.308439424,8.072757539,2.3284516,1.274760472
W Shumagins,S Kodiak,VIP > 0.5,2,0.339157639,7.891430432,1.827411003,1.283517349
W Shumagins,S Kodiak,VIP > 1.0,2,0.367568875,7.719930897,1.502479447,1.301250356
W Shumagins,E Shumagins,SNV+SG,1,0.560209985,6.341286245,-1.761696391,1.59404622
W Shumagins,E Shumagins,SG Only,2,0.32259149,8.371980868,1.637313027,1.247376397
W Shumagins,E Shumagins,Filtered SG,2,0.332413136,8.311067213,0.931997052,1.240076641
W Shumagins,E Shumagins,VIP > 0.5,2,0.339773048,8.265126938,0.918469508,1.246826553
W Shumagins,E Shumagins,VIP > 1.0,2,0.338639168,8.272221193,1.0703865,1.24853782
